2.5.1.81	rxn05287	geranylgeranyl-diphosphate:isopentenyl-diphosphate transtransferase	MetaCyc: PWY-7720 (ophiobolin F biosynthesis); PWY-7736 (stellatic acid biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); SESTERTERPENOID-BIOSYNTHESIS (Sesterterpenoid Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)
2.2.1.2	rxn01333	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase	MetaCyc: Acetate-Formation (Fermentation to Acetate); C1-COMPOUNDS (C1 Compound Utilization and Assimilation); CARBOXYLATES-DEG (Carboxylate Degradation); Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); Energy-Metabolism (Generation of Precursor Metabolite and Energy); Fermentation (); Fermentation-to-Acids (Fermentation to Short-Chain Fatty Acids); Fermentation-to-Lactate (Fermentation to Lactate); Formaldehyde-Assimilation (Formaldehyde Assimilation); NONOXIPENT-PWY (pentose phosphate pathway (non-oxidative branch)); P124-PWY (Bifidobacterium shunt); P185-PWY (formaldehyde assimilation III (dihydroxyacetone cycle)); PENTOSE-P-PWY (pentose phosphate pathway); PWY-1861 (formaldehyde assimilation II (assimilatory RuMP Cycle)); PWY-5723 (Rubisco shunt); PWY-6901 (superpathway of glucose and xylose degradation); Pentose-Phosphate-Cycle (Pentose Phosphate Pathways); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)|KEGG: rn00030 (Pentose phosphate pathway); rn01110 (Biosynthesis of secondary metabolites); rn01200 (Carbon metabolism); rn01230 (Biosynthesis of amino acids)
4.1.2.22|4.1.2.9	rxn01187	D-Xylulose 5-phosphate D-glyceraldehyde-3-phosphate-lyase (adding phosphate; acetyl-phosphate-forming)	MetaCyc: Acetate-Formation (Fermentation to Acetate); Alcohol-Biosynthesis (Fermentation to Alcohols); CARBOXYLATES-DEG (Carboxylate Degradation); Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); Energy-Metabolism (Generation of Precursor Metabolite and Energy); Fermentation (); Fermentation-to-Acids (Fermentation to Short-Chain Fatty Acids); Fermentation-to-Lactate (Fermentation to Lactate); P122-PWY (heterolactic fermentation); P124-PWY (Bifidobacterium shunt); Pyruvate-Degradation (Fermentation of Pyruvate); Pyruvate-Ethanol-Fermentation (Pyruvate Fermentation to Ehanol); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)|KEGG: rn00030 (Pentose phosphate pathway); rn00710 (Carbon fixation in photosynthetic organisms)
2.3.1.54	rxn00157	Acetyl-CoA:formate C-acetyltransferase	"MetaCyc: Acetate-Formation (Fermentation to Acetate); Alcohol-Biosynthesis (Fermentation to Alcohols); C1-COMPOUNDS (C1 Compound Utilization and Assimilation); CARBOXYLATES-DEG (Carboxylate Degradation); CO2-Fixation (CO<sub>2</sub> Fixation); Degradation (Degradation/Utilization/Assimilation); Energy-Metabolism (Generation of Precursor Metabolite and Energy); FERMENTATION-PWY (mixed acid fermentation); Fermentation (); Fermentation-to-Acids (Fermentation to Short-Chain Fatty Acids); Fermentation-to-Lactate (Fermentation to Lactate); P441-PWY (superpathway of <i>N</i>-acetylneuraminate degradation); P461-PWY (hexitol fermentation to lactate, formate, ethanol and acetate); PWY-5480 (pyruvate fermentation to ethanol I); PWY-5485 (pyruvate fermentation to acetate IV); PWY-5493 (reductive monocarboxylic acid cycle); PWY4LZ-257 (superpathway of fermentation (<i>Chlamydomonas reinhardtii</i>)); Pyruvate-Acetate-Fermentation (Pyruvate Fermentation to Acetate); Pyruvate-Degradation (Fermentation of Pyruvate); Pyruvate-Ethanol-Fermentation (Pyruvate Fermentation to Ehanol); SECONDARY-METABOLITE-DEGRADATION (Secondary Metabolite Degradation); SUGAR-ALCOHOLS-DEG (Sugar Alcohol Degradation); Sugar-Derivatives (Sugar Derivative Degradation)|KEGG: rn00620 (Pyruvate metabolism); rn00650 (Butanoate metabolism)"
5.3.1.6	rxn00777	D-ribose-5-phosphate aldose-ketose-isomerase	MetaCyc: Acetate-Formation (Fermentation to Acetate); Alcohol-Biosynthesis (Fermentation to Alcohols); Autotrophic-CO2-Fixation (Autotrophic CO<sub>2</sub> Fixation); C1-COMPOUNDS (C1 Compound Utilization and Assimilation); CALVIN-PWY (Calvin-Benson-Bassham cycle); CARBO-BIOSYNTHESIS (Sugar Biosynthesis); CARBOXYLATES-DEG (Carboxylate Degradation); CO2-Fixation (CO<sub>2</sub> Fixation); Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); Energy-Metabolism (Generation of Precursor Metabolite and Energy); Ethylene-Biosynthesis (Ethylene Biosynthesis); Fermentation (); Fermentation-to-Acids (Fermentation to Short-Chain Fatty Acids); Fermentation-to-Lactate (Fermentation to Lactate); Formaldehyde-Assimilation (Formaldehyde Assimilation); HORMONE-SYN (Hormone Biosynthesis); NONOXIPENT-PWY (pentose phosphate pathway (non-oxidative branch)); P124-PWY (Bifidobacterium shunt); P185-PWY (formaldehyde assimilation III (dihydroxyacetone cycle)); PENTOSE-P-PWY (pentose phosphate pathway); PHOTOALL-PWY (oxygenic photosynthesis); PWY-1861 (formaldehyde assimilation II (assimilatory RuMP Cycle)); PWY-5723 (Rubisco shunt); PWY-6886 (1-butanol autotrophic biosynthesis (engineered)); PWY-6901 (superpathway of glucose and xylose degradation); PWY-7124 (ethylene biosynthesis V (engineered)); PWY-7218 (photosynthetic 3-hydroxybutanoate biosynthesis (engineered)); Pentose-Phosphate-Cycle (Pentose Phosphate Pathways); Photosynthesis (); Plant-Hormone-Biosynthesis (Plant Hormone Biosynthesis); Storage-Compounds-Biosynthesis (Storage Compound Biosynthesis); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)|KEGG: rn00030 (Pentose phosphate pathway); rn00710 (Carbon fixation in photosynthetic organisms); rn01110 (Biosynthesis of secondary metabolites); rn01200 (Carbon metabolism); rn01230 (Biosynthesis of amino acids)
5.1.3.1	rxn01116	D-Ribulose-5-phosphate 3-epimerase	MetaCyc: Acetate-Formation (Fermentation to Acetate); Alcohol-Biosynthesis (Fermentation to Alcohols); Autotrophic-CO2-Fixation (Autotrophic CO<sub>2</sub> Fixation); C1-COMPOUNDS (C1 Compound Utilization and Assimilation); CALVIN-PWY (Calvin-Benson-Bassham cycle); CARBO-BIOSYNTHESIS (Sugar Biosynthesis); CARBOXYLATES-DEG (Carboxylate Degradation); CO2-Fixation (CO<sub>2</sub> Fixation); Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); Energy-Metabolism (Generation of Precursor Metabolite and Energy); Ethylene-Biosynthesis (Ethylene Biosynthesis); Fermentation (); Fermentation-to-Acids (Fermentation to Short-Chain Fatty Acids); Fermentation-to-Lactate (Fermentation to Lactate); Formaldehyde-Assimilation (Formaldehyde Assimilation); HORMONE-SYN (Hormone Biosynthesis); NONOXIPENT-PWY (pentose phosphate pathway (non-oxidative branch)); P122-PWY (heterolactic fermentation); P124-PWY (Bifidobacterium shunt); P185-PWY (formaldehyde assimilation III (dihydroxyacetone cycle)); P21-PWY (pentose phosphate pathway (partial)); PENTOSE-P-PWY (pentose phosphate pathway); PHOTOALL-PWY (oxygenic photosynthesis); PWY-1861 (formaldehyde assimilation II (assimilatory RuMP Cycle)); PWY-5723 (Rubisco shunt); PWY-6886 (1-butanol autotrophic biosynthesis (engineered)); PWY-6901 (superpathway of glucose and xylose degradation); PWY-7124 (ethylene biosynthesis V (engineered)); PWY-7218 (photosynthetic 3-hydroxybutanoate biosynthesis (engineered)); Pentose-Phosphate-Cycle (Pentose Phosphate Pathways); Photosynthesis (); Plant-Hormone-Biosynthesis (Plant Hormone Biosynthesis); Pyruvate-Degradation (Fermentation of Pyruvate); Pyruvate-Ethanol-Fermentation (Pyruvate Fermentation to Ehanol); Storage-Compounds-Biosynthesis (Storage Compound Biosynthesis); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)|KEGG: rn00030 (Pentose phosphate pathway); rn00040 (Pentose and glucuronate interconversions); rn00710 (Carbon fixation in photosynthetic organisms); rn01110 (Biosynthesis of secondary metabolites); rn01200 (Carbon metabolism); rn01230 (Biosynthesis of amino acids)
2.2.1.1	rxn01200	Sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase	MetaCyc: Acetate-Formation (Fermentation to Acetate); Alcohol-Biosynthesis (Fermentation to Alcohols); Autotrophic-CO2-Fixation (Autotrophic CO<sub>2</sub> Fixation); C1-COMPOUNDS (C1 Compound Utilization and Assimilation); CALVIN-PWY (Calvin-Benson-Bassham cycle); CARBO-BIOSYNTHESIS (Sugar Biosynthesis); CARBOXYLATES-DEG (Carboxylate Degradation); CO2-Fixation (CO<sub>2</sub> Fixation); Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); Energy-Metabolism (Generation of Precursor Metabolite and Energy); Ethylene-Biosynthesis (Ethylene Biosynthesis); Fermentation (); Fermentation-to-Acids (Fermentation to Short-Chain Fatty Acids); Fermentation-to-Lactate (Fermentation to Lactate); Formaldehyde-Assimilation (Formaldehyde Assimilation); HORMONE-SYN (Hormone Biosynthesis); NONOXIPENT-PWY (pentose phosphate pathway (non-oxidative branch)); P124-PWY (Bifidobacterium shunt); P185-PWY (formaldehyde assimilation III (dihydroxyacetone cycle)); P21-PWY (pentose phosphate pathway (partial)); PENTOSE-P-PWY (pentose phosphate pathway); PHOTOALL-PWY (oxygenic photosynthesis); PWY-1861 (formaldehyde assimilation II (assimilatory RuMP Cycle)); PWY-5723 (Rubisco shunt); PWY-6886 (1-butanol autotrophic biosynthesis (engineered)); PWY-6901 (superpathway of glucose and xylose degradation); PWY-7124 (ethylene biosynthesis V (engineered)); PWY-7218 (photosynthetic 3-hydroxybutanoate biosynthesis (engineered)); Pentose-Phosphate-Cycle (Pentose Phosphate Pathways); Photosynthesis (); Plant-Hormone-Biosynthesis (Plant Hormone Biosynthesis); Storage-Compounds-Biosynthesis (Storage Compound Biosynthesis); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)|KEGG: rn00030 (Pentose phosphate pathway); rn00710 (Carbon fixation in photosynthetic organisms); rn01110 (Biosynthesis of secondary metabolites); rn01200 (Carbon metabolism); rn01230 (Biosynthesis of amino acids)
2.3.1.47	rxn02297	6-Carboxyhexanoyl-CoA:L-alanine C-carboxyhexanoyltransferase (decarboxylating)	"MetaCyc: 7-Keto-8-aminopelargonate-Biosynthesis (8-Amino-7-oxononanoate Biosynthesis); BIOTIN-SYN (Biotin Biosynthesis); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); PWY-5005 (biotin biosynthesis II); PWY-6578 (8-amino-7-oxononanoate biosynthesis III); Vitamin-Biosynthesis (Vitamin Biosynthesis)|KEGG: rn00780 (Biotin metabolism)"
1.1.1.100	rxn21861	3-oxo-pimeloyl-[acp] methyl ester reductase	"MetaCyc: 7-Keto-8-aminopelargonate-Biosynthesis (8-Amino-7-oxononanoate Biosynthesis); BIOTIN-BIOSYNTHESIS-PWY (biotin biosynthesis I); BIOTIN-SYN (Biotin Biosynthesis); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); PWY-6519 (8-amino-7-oxononanoate biosynthesis I); Vitamin-Biosynthesis (Vitamin Biosynthesis)"
2.3.1.47	rxn21864	RXN-11484.c	"MetaCyc: 7-Keto-8-aminopelargonate-Biosynthesis (8-Amino-7-oxononanoate Biosynthesis); BIOTIN-BIOSYNTHESIS-PWY (biotin biosynthesis I); BIOTIN-SYN (Biotin Biosynthesis); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); PWY-6519 (8-amino-7-oxononanoate biosynthesis I); PWY-7147 (8-amino-7-oxononanoate biosynthesis II); Vitamin-Biosynthesis (Vitamin Biosynthesis)|KEGG: rn00780 (Biotin metabolism)"
3.5.4.25	rxn00300	"GTP 7,8-8,9-dihydrolase (diphosphate-forming)"	"MetaCyc: 6-HM-Dihydropterin-PP-Biosynthesis (6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); Flavin-Biosynthesis (Flavin Biosynthesis); Folate-Biosynthesis (Folate Biosynthesis); PWY-6168 (flavin biosynthesis III (fungi)); PWY-7539 (6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)); PWY-7991 (toxoflavin biosynthesis); RIBOSYN2-PWY (flavin biosynthesis I (bacteria and plants)); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); Vitamin-Biosynthesis (Vitamin Biosynthesis)|KEGG: rn00740 (Riboflavin metabolism)"
3.5.4.16	rxn00299	"GTP 7,8-8,9-dihydrolase"	"MetaCyc: 6-HM-Dihydropterin-PP-Biosynthesis (6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis); ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); FOLSYN-PWY (superpathway of tetrahydrofolate biosynthesis and salvage); Folate-Biosynthesis (Folate Biosynthesis); Other-biosynthesis (Other Biosynthesis); PWY-5663 (erythro-tetrahydrobiopterin biosynthesis I); PWY-5664 (<i>erythro</i>-tetrahydrobiopterin biosynthesis II); PWY-6147 (6-hydroxymethyl-dihydropterin diphosphate biosynthesis I); PWY-6612 (superpathway of tetrahydrofolate biosynthesis); PWY-6703 (preQ<sub>0</sub> biosynthesis); PWY-6983 (<i>threo</i>-tetrahydrobiopterin biosynthesis); PWY-7442 (drosopterin and aurodrosopterin biosynthesis); PWY-7852 (6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)); PWY0-1433 (tetrahydromonapterin biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); Tetrahydrobiopterin-Biosynthesis (Tetrahydrobiopterin Biosynthesis); Vitamin-Biosynthesis (Vitamin Biosynthesis)"
4.1.2.25	rxn02504	"2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase"	"MetaCyc: 6-HM-Dihydropterin-PP-Biosynthesis (6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis); ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); FOLSYN-PWY (superpathway of tetrahydrofolate biosynthesis and salvage); Folate-Biosynthesis (Folate Biosynthesis); PWY-6147 (6-hydroxymethyl-dihydropterin diphosphate biosynthesis I); PWY-6148 (tetrahydromethanopterin biosynthesis); PWY-6612 (superpathway of tetrahydrofolate biosynthesis); PWY-6797 (6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (<i>Methanocaldococcus</i>)); PWY-7539 (6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)); Vitamin-Biosynthesis (Vitamin Biosynthesis)|KEGG: rn00790 (Folate biosynthesis)"
1.2.1.7	rxn00958	4-Hydroxybenzaldehyde:NADP+ oxidoreductase	MetaCyc: 4-HYDROXYMANDELATE-DEGRADATION-PWY (4-hydroxymandelate degradation); AROMATIC-COMPOUNDS-DEGRADATION (Aromatic Compound Degradation); Degradation (Degradation/Utilization/Assimilation); PHENYLPROPANOID-DERIVATIVE-DEG (Phenylpropanoid Derivative Degradation); PWY-2504 (superpathway of aromatic compound degradation via 3-oxoadipate); PWY-5181 (toluene degradation III (aerobic) (via <i>p</i>-cresol)); PWY-5183 (superpathway of aerobic toluene degradation); PWY-6954 (superpathway of aromatic compound degradation via 2-hydroxypentadienoate); PWY-7046 (4-coumarate degradation (anaerobic)); PWY-7700 (4-methylphenol degradation to protocatechuate); PWY-8002 (4-coumarate degradation (aerobic)); Phenolic-Compounds-Degradation (Phenolic Compound Degradation); SECONDARY-METABOLITE-DEGRADATION (Secondary Metabolite Degradation); TOLUENE-DEG (Toluene Degradation)|KEGG: rn00623 (Toluene degradation); rn00627 (Aminobenzoate degradation)
2.6.1.1|2.6.1.5|2.6.1.57|2.6.1.9	rxn00527	L-tyrosine:2-oxoglutarate aminotransferase	"MetaCyc: 4-Hydroxybenzoate-Biosynthesis (4-Hydroxybenzoate Biosynthesis); ALKALOIDS-SYN (Alkaloid Biosynthesis); ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); AROMATIC-COMPOUNDS-BIOSYN (Aromatic Compound Biosynthesis); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); Amino-Acid-Degradation (Amino Acid Degradation); CINNAMATE-SYN (Cinnamate Biosynthesis); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); Degradation (Degradation/Utilization/Assimilation); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); ISOQUINOLINE-ALKALOIDS (Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis); N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis); PHENYLPROPANOID-SYN (Phenylpropanoid Derivative Biosynthesis); PWY-3581 ((<i>S</i>)-reticuline biosynthesis I); PWY-5048 (rosmarinic acid biosynthesis I); PWY-5071 (superpathway of rosmarinic acid biosynthesis); PWY-5151 (L-tyrosine degradation II); PWY-5754 (4-hydroxybenzoate biosynthesis I (eukaryotes)); PWY-5864 (superpathway of plastoquinol biosynthesis); PWY-5886 (4-hydroxyphenylpyruvate biosynthesis); PWY-6630 (superpathway of L-tyrosine biosynthesis); PWY-7514 (L-tyrosine degradation IV (to 4-methylphenol)); PWY-7518 (atromentin biosynthesis); PWY-8016 (L-tyrosine degradation V (Stickland reaction)); PWY3O-4108 (L-tyrosine degradation III); Plastoquinone-Biosynthesis (Plastoquinol Biosynthesis); Proteinogenic-Amino-Acids-Degradation (Proteinogenic Amino Acid Degradation); QUINONE-SYN (Quinone Secondary Metabolite Biosynthesis); Quinone-Biosynthesis (Quinol and Quinone Biosynthesis); Rosmarinate-Biosynthesis (Rosmarinate Biosynthesis); S-Reticuline-Biosynthesis ((<i>S</i>)-reticuline biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); TYRFUMCAT-PWY (L-tyrosine degradation I); TYROSINE-DEG (L-tyrosine Degradation); TYROSINE-SYN (L-tyrosine Biosynthesis); TYRSYN (L-tyrosine biosynthesis I)|KEGG: rn00130 (Ubiquinone and other terpenoid-quinone biosynthesis); rn00350 (Tyrosine metabolism); rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn00401 (Novobiocin biosynthesis); rn00950 (Isoquinoline alkaloid biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01210 (2-Oxocarboxylic acid metabolism); rn01230 (Biosynthesis of amino acids)"
1.4.1.3|1.4.1.4	rxn00184	L-Glutamate:NADP+ oxidoreductase (deaminating)	"MetaCyc: 4-Aminobutyraye-Degradation (4-Aminobutanoate Degradation); AMINE-DEG (Amine and Polyamine Degradation); ARGININE-SYN4-PWY (L-ornithine biosynthesis II); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); Amino-Acid-Degradation (Amino Acid Degradation); Degradation (Degradation/Utilization/Assimilation); Energy-Metabolism (Generation of Precursor Metabolite and Energy); GLUDEG-I-PWY (GABA shunt); GLUTAMATE-DEG (L-glutamate Degradation); GLUTAMATE-SYN (L-glutamate Biosynthesis); GLUTAMATE-SYN2-PWY (L-glutamate biosynthesis II); GLUTAMINE-SYN (L-glutamine Biosynthesis); GLUTSYNIII-PWY (L-glutamate biosynthesis III); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); L-Ornithine-Biosynthesis (L-Ornithine Biosynthesis); Metabolic-Clusters (Metabolic Clusters); NITROGEN-DEG (Nitrogen Compound Metabolism); Nitrate-Reduction (Nitrate Reduction); Noncarbon-Nutrients (Inorganic Nutrient Metabolism); Other-Amino-Acid-Biosynthesis (Other Amino Acid Biosynthesis); PWY-5505 (L-glutamate and L-glutamine biosynthesis); PWY-5675 (nitrate reduction V (assimilatory)); PWY-5766 (L-glutamate degradation X); PWY-5913 (partial TCA cycle (obligate autotrophs)); PWY490-3 (nitrate reduction VI (assimilatory)); Proteinogenic-Amino-Acids-Degradation (Proteinogenic Amino Acid Degradation); TCA-VARIANTS (TCA cycle)|KEGG: rn00250 (Alanine, aspartate and glutamate metabolism); rn00330 (Arginine and proline metabolism); rn00471 (D-Glutamine and D-glutamate metabolism); rn00910 (Nitrogen metabolism)"
2.7.2.4	rxn00337	ATP:L-aspartate 4-phosphotransferase	"MetaCyc: 3-Dehydroquinate-Biosynthesis (3-Dehydroquinate Biosynthesis); AROMATIC-COMPOUNDS-BIOSYN (Aromatic Compound Biosynthesis); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); Chorismate-Biosynthesis (Chorismate Biosynthesis); DAPLYSINESYN-PWY (L-lysine biosynthesis I); HOMOSERSYN-PWY (L-homoserine biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); ISOLEUCINE-SYN (L-isoleucine Biosynthesis); LYSINE-SYN (L-lysine Biosynthesis); MET-SAM-PWY (superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis); METHIONINE-SYN (L-methionine Biosynthesis); METSYN-PWY (superpathway of L-homoserine and L-methionine biosynthesis); Methionine-De-novo-Biosynthesis (L-methionine <i>De Novo</i> Biosynthesis); Other-Amino-Acid-Biosynthesis (Other Amino Acid Biosynthesis); P101-PWY (ectoine biosynthesis); P4-PWY (superpathway of L-lysine, L-threonine and L-methionine biosynthesis I); PWY-2941 (L-lysine biosynthesis II); PWY-2942 (L-lysine biosynthesis III); PWY-3001 (superpathway of L-isoleucine biosynthesis I); PWY-5097 (L-lysine biosynthesis VI); PWY-5345 (superpathway of L-methionine biosynthesis (by sulfhydrylation)); PWY-5347 (superpathway of L-methionine biosynthesis (transsulfuration)); PWY-6160 (3-dehydroquinate biosynthesis II (archaea)); PWY-6165 (chorismate biosynthesis II (archaea)); PWY-6559 (spermidine biosynthesis II); PWY-6562 (norspermidine biosynthesis); PWY-6565 (superpathway of polyamine biosynthesis III); PWY-7153 (grixazone biosynthesis); PWY-724 (superpathway of L-lysine, L-threonine and L-methionine biosynthesis II); PWY-7977 (L-methionine biosynthesis IV (archaea)); PWY0-781 (aspartate superpathway); Polyamine-Biosynthesis (Amine and Polyamine Biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); Spermidine-Biosynthesis (Spermidine Biosynthesis); THREONINE-BIOSYNTHESIS (L-threonine Biosynthesis); THRESYN-PWY (superpathway of L-threonine biosynthesis)|KEGG: rn00260 (Glycine, serine and threonine metabolism); rn00270 (Cysteine and methionine metabolism); rn00300 (Lysine biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01210 (2-Oxocarboxylic acid metabolism); rn01230 (Biosynthesis of amino acids)"
1.2.1.11	rxn01643	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	"MetaCyc: 3-Dehydroquinate-Biosynthesis (3-Dehydroquinate Biosynthesis); AROMATIC-COMPOUNDS-BIOSYN (Aromatic Compound Biosynthesis); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); Chorismate-Biosynthesis (Chorismate Biosynthesis); DAPLYSINESYN-PWY (L-lysine biosynthesis I); HOMOSERSYN-PWY (L-homoserine biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); ISOLEUCINE-SYN (L-isoleucine Biosynthesis); LYSINE-SYN (L-lysine Biosynthesis); MET-SAM-PWY (superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis); METHIONINE-SYN (L-methionine Biosynthesis); METSYN-PWY (superpathway of L-homoserine and L-methionine biosynthesis); Methionine-De-novo-Biosynthesis (L-methionine <i>De Novo</i> Biosynthesis); Other-Amino-Acid-Biosynthesis (Other Amino Acid Biosynthesis); P101-PWY (ectoine biosynthesis); P4-PWY (superpathway of L-lysine, L-threonine and L-methionine biosynthesis I); PWY-2941 (L-lysine biosynthesis II); PWY-2942 (L-lysine biosynthesis III); PWY-3001 (superpathway of L-isoleucine biosynthesis I); PWY-5097 (L-lysine biosynthesis VI); PWY-5345 (superpathway of L-methionine biosynthesis (by sulfhydrylation)); PWY-5347 (superpathway of L-methionine biosynthesis (transsulfuration)); PWY-6160 (3-dehydroquinate biosynthesis II (archaea)); PWY-6165 (chorismate biosynthesis II (archaea)); PWY-6559 (spermidine biosynthesis II); PWY-6562 (norspermidine biosynthesis); PWY-6565 (superpathway of polyamine biosynthesis III); PWY-7153 (grixazone biosynthesis); PWY-724 (superpathway of L-lysine, L-threonine and L-methionine biosynthesis II); PWY-7977 (L-methionine biosynthesis IV (archaea)); PWY0-781 (aspartate superpathway); Polyamine-Biosynthesis (Amine and Polyamine Biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); Spermidine-Biosynthesis (Spermidine Biosynthesis); THREONINE-BIOSYNTHESIS (L-threonine Biosynthesis); THRESYN-PWY (superpathway of L-threonine biosynthesis)|KEGG: rn00260 (Glycine, serine and threonine metabolism); rn00270 (Cysteine and methionine metabolism); rn00300 (Lysine biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01210 (2-Oxocarboxylic acid metabolism); rn01230 (Biosynthesis of amino acids)"
2.5.1.54|4.1.2.15	rxn01332	"Phosphoenolpyruvate:D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming)"	"MetaCyc: 3-Dehydroquinate-Biosynthesis (3-Dehydroquinate Biosynthesis); ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); ARO-PWY (chorismate biosynthesis I); AROMATIC-COMPOUNDS-BIOSYN (Aromatic Compound Biosynthesis); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); Chorismate-Biosynthesis (Chorismate Biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); PHENYLALANINE-SYN (L-phenylalanine Biosynthesis); PWY-6164 (3-dehydroquinate biosynthesis I); PWY-6628 (superpathway of L-phenylalanine biosynthesis); PWY-6629 (superpathway of L-tryptophan biosynthesis); PWY-6630 (superpathway of L-tyrosine biosynthesis); TRYPTOPHAN-BIOSYNTHESIS (L-tryptophan Biosynthesis); TYROSINE-SYN (L-tyrosine Biosynthesis)|KEGG: rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01230 (Biosynthesis of amino acids)"
