locus_tag_from_mut_lib,protein_accession,locus_tag_from_model
MIT1002_01675,WP_049586528.1,TK37_RS05615
MIT1002_01676,WP_049586530.1,TK37_RS05620
MIT1002_01677,WP_049586532.1,TK37_RS05625
MIT1002_01678,WP_049586533.1,TK37_RS05630
MIT1002_01679,WP_014949170.1,TK37_RS05635
MIT1002_01680,WP_049586536.1,TK37_RS05640
MIT1002_01681,WP_049586538.1,TK37_RS05645
MIT1002_01682,WP_049586540.1,TK37_RS05650
MIT1002_01683,WP_049586542.1,TK37_RS05655
MIT1002_01684,WP_049586544.1,TK37_RS05660
MIT1002_01685,WP_049586546.1,TK37_RS05665
MIT1002_01686,WP_014949177.1,TK37_RS05670
MIT1002_01687,WP_049586548.1,TK37_RS05675
MIT1002_01688,WP_014949179.1,TK37_RS05680
MIT1002_01689,WP_049586550.1,TK37_RS05685
MIT1002_01690,WP_014979088.1,TK37_RS05690
MIT1002_01691,WP_014976297.1,TK37_RS05695
MIT1002_01692,WP_049586552.1,TK37_RS05700
MIT1002_01697,WP_049589188.1,TK37_RS20220
MIT1002_01698,WP_049589189.1,TK37_RS20225
MIT1002_01699,WP_014976301.1,TK37_RS20230
MIT1002_01702,WP_049589117.1,TK37_RS19920
MIT1002_01703,WP_049589116.1,TK37_RS19915
MIT1002_01704,WP_049589115.1,TK37_RS19910
MIT1002_01705,WP_049589114.1,TK37_RS19905
MIT1002_01706,WP_014976306.1,TK37_RS19900
MIT1002_01708,WP_156080665.1,
MIT1002_01755,WP_156080665.1,
MIT1002_02537,WP_156080665.1,
MIT1002_01709,WP_049589093.1,TK37_RS19780
MIT1002_01710,WP_049589094.1,TK37_RS19785
MIT1002_01711,WP_049589095.1,TK37_RS19790
MIT1002_01712,WP_049589097.1,TK37_RS19795
MIT1002_01713,WP_049589098.1,TK37_RS19800
MIT1002_01714,WP_049589099.1,TK37_RS19805
MIT1002_01715,WP_049589100.1,TK37_RS19810
MIT1002_01716,WP_014979105.1,TK37_RS19815
MIT1002_01717,WP_014976315.1,
MIT1002_01718,WP_039229671.1,TK37_RS19825
MIT1002_01719,WP_080986479.1,TK37_RS19830
MIT1002_01720,WP_049589101.1,TK37_RS19835
MIT1002_01722,WP_049588739.1,TK37_RS16940
MIT1002_01723,WP_049588740.1,TK37_RS16945
MIT1002_01724,WP_080986464.1,TK37_RS16950
MIT1002_01725,WP_014979112.1,TK37_RS16955
MIT1002_01726,WP_049588741.1,TK37_RS16960
MIT1002_01727,WP_049588742.1,TK37_RS16965
MIT1002_01728,WP_049588743.1,TK37_RS16970
MIT1002_01729,WP_012518206.1,TK37_RS16975
MIT1002_01730,WP_049588744.1,TK37_RS16980
MIT1002_01731,WP_014949212.1,TK37_RS16985
MIT1002_01732,WP_049588745.1,TK37_RS16990
MIT1002_01733,WP_014976326.1,TK37_RS16995
MIT1002_01734,WP_012518211.1,TK37_RS17000
MIT1002_01735,WP_049588746.1,TK37_RS17005
MIT1002_01736,WP_014949216.1,TK37_RS17010
MIT1002_01737,WP_049588747.1,TK37_RS17015
MIT1002_01738,WP_049588748.1,TK37_RS17020
MIT1002_01739,WP_049588749.1,TK37_RS17025
MIT1002_01740,WP_049588750.1,TK37_RS17030
MIT1002_01741,WP_039229648.1,TK37_RS17035
MIT1002_01742,WP_014949222.1,TK37_RS17040
MIT1002_01743,WP_231514275.1,
MIT1002_01744,WP_049588752.1,TK37_RS17050
MIT1002_01745,WP_049588753.1,TK37_RS17055
MIT1002_01746,WP_014949226.1,TK37_RS17060
MIT1002_01747,WP_014949227.1,TK37_RS17065
MIT1002_01748,WP_014949228.1,TK37_RS17070
MIT1002_01749,WP_014949229.1,TK37_RS17075
MIT1002_01750,WP_049588754.1,TK37_RS17080
MIT1002_01751,WP_049588755.1,TK37_RS17085
MIT1002_01752,WP_014949232.1,TK37_RS17090
MIT1002_01753,WP_014949234.1,TK37_RS17095
MIT1002_01754,WP_014949235.1,TK37_RS17100
MIT1002_01756,WP_049586643.1,
MIT1002_01757,WP_014949240.1,TK37_RS06175
MIT1002_01758,WP_014949246.1,TK37_RS06180
MIT1002_01759,WP_049586644.1,TK37_RS06185
MIT1002_01760,WP_014949248.1,TK37_RS20780
MIT1002_01761,WP_049586645.1,TK37_RS06190
MIT1002_01762,WP_049586646.1,TK37_RS06195
MIT1002_01763,WP_049586648.1,TK37_RS06200
MIT1002_01767,WP_049586650.1,TK37_RS06220
MIT1002_01768,WP_049586651.1,TK37_RS06225
MIT1002_01769,WP_014949254.1,TK37_RS06230
MIT1002_01770,WP_014949255.1,TK37_RS06235
MIT1002_01771,WP_049586652.1,TK37_RS06240
MIT1002_01772,WP_049586653.1,TK37_RS06245
MIT1002_01773,WP_049586655.1,TK37_RS06250
MIT1002_01775,WP_012518257.1,TK37_RS06255
MIT1002_01776,WP_014949260.1,TK37_RS06260
MIT1002_01777,WP_039229603.1,TK37_RS06265
MIT1002_01778,WP_014949262.1,TK37_RS06270
MIT1002_01780,WP_049586657.1,TK37_RS06275
MIT1002_01781,WP_049586659.1,TK37_RS06280
MIT1002_01782,WP_049586661.1,TK37_RS06285
MIT1002_01783,WP_231514276.1,
MIT1002_01784,WP_014949268.1,TK37_RS06295
MIT1002_01785,WP_014976359.1,TK37_RS06300
MIT1002_01786,WP_049586663.1,TK37_RS06305
MIT1002_01787,WP_049586664.1,TK37_RS06310
MIT1002_01788,WP_049586665.1,TK37_RS06315
MIT1002_01789,WP_049586666.1,TK37_RS06320
MIT1002_01790,WP_049586667.1,TK37_RS06325
MIT1002_01791,WP_014949275.1,TK37_RS06330
MIT1002_01792,WP_049586669.1,TK37_RS06335
MIT1002_01793,WP_080986397.1,TK37_RS06340
MIT1002_01794,WP_049586718.1,TK37_RS06345
MIT1002_01795,WP_049586673.1,TK37_RS06350
MIT1002_01796,WP_049586674.1,TK37_RS06355
MIT1002_01797,WP_049586677.1,TK37_RS06360
MIT1002_01798,WP_049586678.1,TK37_RS06365
MIT1002_01799,WP_049586680.1,TK37_RS06370
MIT1002_01800,WP_049586682.1,TK37_RS06375
MIT1002_01802,WP_049586684.1,TK37_RS06385
MIT1002_01803,WP_049586686.1,TK37_RS06390
MIT1002_01805,WP_014976383.1,TK37_RS06395
MIT1002_01806,WP_014949307.1,TK37_RS06400
MIT1002_01807,WP_014949308.1,TK37_RS06405
MIT1002_01808,WP_049586688.1,TK37_RS06410
MIT1002_01809,WP_012518305.1,TK37_RS06415
MIT1002_01810,WP_049586689.1,TK37_RS06420
MIT1002_01811,WP_049586690.1,TK37_RS06425
MIT1002_01812,WP_049586691.1,TK37_RS06430
MIT1002_01813,WP_049586693.1,TK37_RS06435
MIT1002_01814,WP_049586720.1,TK37_RS06440
MIT1002_01815,WP_049586695.1,TK37_RS06445
MIT1002_01816,WP_049586697.1,TK37_RS06450
MIT1002_01817,WP_155279892.1,TK37_RS21330
MIT1002_01819,WP_049586699.1,TK37_RS06460
MIT1002_01820,WP_014976393.1,TK37_RS06465
MIT1002_01821,WP_049586700.1,TK37_RS06470
MIT1002_01822,WP_014949321.1,TK37_RS06475
MIT1002_01823,WP_014949322.1,TK37_RS06480
MIT1002_01824,WP_049586702.1,TK37_RS06485
MIT1002_01825,WP_049586704.1,TK37_RS06490
MIT1002_01826,WP_039229483.1,TK37_RS06495
MIT1002_01827,WP_014949326.1,TK37_RS06500
MIT1002_01828,WP_014998223.1,
MIT1002_01829,WP_049586714.1,TK37_RS06510
MIT1002_01830,WP_049586716.1,TK37_RS06515
MIT1002_01832,WP_014949330.1,TK37_RS06520
MIT1002_01833,WP_014949331.1,TK37_RS06525
MIT1002_01834,WP_014949332.1,TK37_RS06530
MIT1002_01835,WP_014949333.1,TK37_RS06535
MIT1002_01836,WP_156080645.1,
MIT1002_01837,WP_049588711.1,TK37_RS16570
MIT1002_01838,WP_014949336.1,TK37_RS16575
MIT1002_01839,WP_014979203.1,TK37_RS16580
MIT1002_01840,WP_014949339.1,TK37_RS16590
MIT1002_01841,WP_014949341.1,TK37_RS16600
MIT1002_01842,WP_049588695.1,TK37_RS16605
MIT1002_01843,WP_080986461.1,TK37_RS16610
MIT1002_01844,WP_014976407.1,TK37_RS16615
MIT1002_01845,WP_049588697.1,TK37_RS16620
MIT1002_01846,WP_049588698.1,TK37_RS16625
MIT1002_01847,WP_014949347.1,TK37_RS16630
MIT1002_01848,WP_014949348.1,TK37_RS16635
MIT1002_01849,WP_049588699.1,TK37_RS16640
MIT1002_01850,WP_049588700.1,TK37_RS16645
MIT1002_01851,WP_049588701.1,TK37_RS16650
MIT1002_01852,WP_014949352.1,TK37_RS16655
MIT1002_01853,WP_014949353.1,TK37_RS16660
MIT1002_01854,WP_231514279.1,
MIT1002_01855,WP_049588702.1,TK37_RS16670
MIT1002_01856,WP_049588703.1,TK37_RS16675
MIT1002_01857,WP_049588704.1,TK37_RS16680
MIT1002_01858,WP_039229447.1,TK37_RS16685
MIT1002_01859,WP_049588705.1,TK37_RS16690
MIT1002_01860,WP_049588706.1,TK37_RS16695
MIT1002_01861,WP_039229438.1,TK37_RS16700
MIT1002_01862,WP_049588707.1,TK37_RS16705
MIT1002_01863,WP_014949363.1,TK37_RS16710
MIT1002_01864,WP_014949364.1,TK37_RS16715
MIT1002_01865,WP_014949365.1,TK37_RS16720
MIT1002_01866,WP_049588708.1,TK37_RS16725
MIT1002_01867,WP_014949367.1,TK37_RS16730
MIT1002_01868,WP_080986462.1,TK37_RS16735
MIT1002_01869,WP_014976424.1,TK37_RS16740
MIT1002_01871,WP_049588709.1,TK37_RS16750
MIT1002_01872,WP_014949371.1,TK37_RS20995
MIT1002_01875,WP_049587787.1,TK37_RS11910
MIT1002_01876,WP_049587790.1,TK37_RS11915
MIT1002_01877,WP_049587792.1,TK37_RS11920
MIT1002_01878,WP_049587793.1,TK37_RS11925
MIT1002_01879,WP_049587795.1,TK37_RS11930
MIT1002_01880,WP_049587797.1,TK37_RS11935
MIT1002_01881,WP_049587798.1,TK37_RS11940
MIT1002_01882,WP_049587799.1,TK37_RS11945
MIT1002_01883,WP_049587801.1,TK37_RS11950
MIT1002_01884,WP_049587803.1,TK37_RS11955
MIT1002_01885,WP_039229394.1,TK37_RS11960
MIT1002_01886,WP_049587804.1,TK37_RS11965
MIT1002_01887,WP_014949384.1,TK37_RS11970
MIT1002_01888,WP_039229711.1,TK37_RS11975
MIT1002_01889,WP_049587806.1,TK37_RS11980
MIT1002_01890,WP_156080647.1,TK37_RS21375
MIT1002_01891,WP_375342100.1,
MIT1002_01892,WP_049587808.1,TK37_RS11985
MIT1002_01893,WP_049587810.1,TK37_RS11990
MIT1002_01894,WP_049587812.1,TK37_RS11995
MIT1002_01895,WP_049587813.1,TK37_RS12000
MIT1002_01897,WP_152910889.1,TK37_RS12010
MIT1002_01898,WP_049587816.1,TK37_RS12015
MIT1002_01899,WP_049587818.1,TK37_RS12020
MIT1002_01900,WP_014979241.1,TK37_RS12025
MIT1002_01901,WP_014979242.1,TK37_RS12030
MIT1002_01902,WP_049587820.1,TK37_RS12035
MIT1002_01903,WP_049587823.1,TK37_RS12040
MIT1002_01904,WP_049587825.1,TK37_RS12045
MIT1002_01905,WP_049587827.1,
MIT1002_01906,WP_039232803.1,TK37_RS12055
MIT1002_01907,WP_049587828.1,TK37_RS12060
MIT1002_01908,WP_049587829.1,TK37_RS12065
MIT1002_01909,WP_049587831.1,TK37_RS12070
MIT1002_01910,WP_049587833.1,TK37_RS12075
MIT1002_01911,WP_014976510.1,TK37_RS12080
MIT1002_01912,WP_049587835.1,TK37_RS12085
MIT1002_01913,WP_231514280.1,
MIT1002_01914,WP_014979255.1,
MIT1002_01915,WP_014949416.1,TK37_RS12095
MIT1002_01916,WP_049587838.1,TK37_RS12100
MIT1002_01917,WP_049587841.1,TK37_RS12105
MIT1002_01918,WP_039220705.1,
MIT1002_01919,WP_014949420.1,TK37_RS12115
MIT1002_01920,WP_049587843.1,TK37_RS12120
MIT1002_01921,WP_014979262.1,TK37_RS12125
MIT1002_01922,WP_049587846.1,TK37_RS12130
MIT1002_01923,WP_049587848.1,TK37_RS12135
MIT1002_01924,WP_049587850.1,TK37_RS12140
MIT1002_01925,WP_014949426.1,TK37_RS12145
MIT1002_01926,WP_049587851.1,TK37_RS12150
MIT1002_01927,WP_049587852.1,TK37_RS12155
MIT1002_01928,WP_049587853.1,TK37_RS12160
MIT1002_01929,WP_014949430.1,TK37_RS12165
MIT1002_01930,WP_014976528.1,TK37_RS12170
MIT1002_01931,WP_014949432.1,TK37_RS12175
MIT1002_01932,WP_049587856.1,TK37_RS12180
MIT1002_01933,WP_049587858.1,TK37_RS12185
MIT1002_01934,WP_014976532.1,TK37_RS12190
MIT1002_01935,WP_014949436.1,TK37_RS12195
MIT1002_01936,WP_049587860.1,TK37_RS12200
MIT1002_01937,WP_049587861.1,TK37_RS12205
MIT1002_01938,WP_039220427.1,TK37_RS12210
MIT1002_01939,WP_049587865.1,TK37_RS12215
MIT1002_01940,WP_049587867.1,TK37_RS12220
MIT1002_01942,WP_014949443.1,TK37_RS16000
MIT1002_01943,WP_014949444.1,TK37_RS15995
MIT1002_01944,WP_014949445.1,TK37_RS15990
MIT1002_01945,WP_014949446.1,TK37_RS15985
MIT1002_01946,WP_014949447.1,TK37_RS15980
MIT1002_01947,WP_012518362.1,TK37_RS15975
MIT1002_01948,WP_049588626.1,TK37_RS15970
MIT1002_01949,WP_014949449.1,TK37_RS15965
MIT1002_01950,WP_014949450.1,TK37_RS15960
MIT1002_01951,WP_012518366.1,TK37_RS15955
MIT1002_01952,WP_049588625.1,TK37_RS15950
MIT1002_01953,WP_049588624.1,TK37_RS15945
MIT1002_01954,WP_049588623.1,TK37_RS15940
MIT1002_01955,WP_049588627.1,TK37_RS15935
MIT1002_01956,WP_014949455.1,TK37_RS15930
MIT1002_01957,WP_207198495.1,
MIT1002_01958,WP_049588622.1,TK37_RS15920
MIT1002_01959,WP_049588621.1,TK37_RS15915
MIT1002_01960,WP_049588620.1,TK37_RS15910
MIT1002_01961,WP_049588619.1,TK37_RS15905
MIT1002_01962,WP_049588618.1,TK37_RS15900
MIT1002_01963,WP_014949462.1,TK37_RS15895
MIT1002_01964,WP_014949463.1,TK37_RS15890
MIT1002_01965,WP_014949464.1,TK37_RS15885
MIT1002_01966,WP_049588617.1,TK37_RS15880
MIT1002_01967,WP_049589220.1,TK37_RS20490
MIT1002_03418,WP_049589220.1,TK37_RS20490
MIT1002_01968,WP_049586228.1,TK37_RS04200
MIT1002_01969,WP_049586230.1,TK37_RS04205
MIT1002_01970,WP_014949468.1,TK37_RS04210
MIT1002_01971,WP_014976552.1,TK37_RS04215
MIT1002_01972,WP_049586232.1,TK37_RS04220
MIT1002_01973,WP_039227758.1,TK37_RS04225
MIT1002_01974,WP_049586233.1,TK37_RS04230
MIT1002_01975,WP_049586234.1,TK37_RS04235
MIT1002_01976,WP_039227754.1,TK37_RS04240
MIT1002_01977,WP_049586235.1,
MIT1002_01978,WP_039227752.1,TK37_RS04250
MIT1002_01979,WP_049586236.1,TK37_RS04255
MIT1002_01980,WP_049586238.1,TK37_RS04260
MIT1002_01981,WP_039227748.1,TK37_RS04265
MIT1002_01982,WP_014949499.1,TK37_RS04270
MIT1002_01983,WP_049586239.1,TK37_RS04275
MIT1002_01984,WP_049586240.1,TK37_RS04280
MIT1002_01985,WP_049586241.1,TK37_RS04285
MIT1002_01986,WP_049586243.1,TK37_RS04290
MIT1002_01987,WP_014949504.1,TK37_RS04295
MIT1002_01988,WP_049586244.1,TK37_RS04300
MIT1002_01989,WP_014949506.1,TK37_RS04305
MIT1002_01990,WP_014949507.1,TK37_RS04310
MIT1002_01991,WP_049586246.1,TK37_RS04315
MIT1002_01992,WP_049586248.1,TK37_RS04320
MIT1002_01993,WP_049586249.1,TK37_RS04325
MIT1002_01994,WP_049586250.1,TK37_RS04330
MIT1002_01995,WP_049586251.1,TK37_RS04335
MIT1002_01996,WP_012518428.1,TK37_RS04340
MIT1002_01997,WP_049586252.1,TK37_RS04345
MIT1002_01998,WP_049586339.1,TK37_RS04350
MIT1002_01999,WP_049586253.1,TK37_RS04355
MIT1002_02000,WP_049586254.1,TK37_RS04360
MIT1002_02001,WP_049586255.1,TK37_RS04365
MIT1002_02002,WP_014949521.1,TK37_RS04370
MIT1002_02003,WP_014949522.1,TK37_RS04375
MIT1002_02004,WP_014976578.1,TK37_RS04380
MIT1002_02005,WP_014949524.1,TK37_RS04385
MIT1002_02006,WP_049586260.1,TK37_RS04390
MIT1002_02007,WP_049586261.1,TK37_RS04395
MIT1002_02008,WP_049586263.1,TK37_RS04400
MIT1002_02009,WP_014949528.1,TK37_RS04405
MIT1002_02010,WP_049586265.1,TK37_RS04410
MIT1002_02011,WP_049586340.1,TK37_RS04415
MIT1002_02012,WP_049586267.1,TK37_RS04420
MIT1002_02013,WP_049586269.1,TK37_RS04425
MIT1002_02014,WP_049586270.1,TK37_RS04430
MIT1002_02015,WP_049586271.1,TK37_RS04435
MIT1002_02016,WP_049586272.1,TK37_RS04440
MIT1002_02017,WP_049586274.1,TK37_RS04445
MIT1002_02018,WP_014979334.1,TK37_RS04450
MIT1002_02020,WP_231514282.1,
MIT1002_02021,WP_049586278.1,TK37_RS04460
MIT1002_02022,WP_049586279.1,TK37_RS04465
MIT1002_02023,WP_014949541.1,TK37_RS04470
MIT1002_02024,WP_014949542.1,TK37_RS04475
MIT1002_02025,WP_049586281.1,TK37_RS04480
MIT1002_02026,WP_049586282.1,TK37_RS04485
MIT1002_02027,WP_049586283.1,TK37_RS04490
MIT1002_02028,WP_049586284.1,TK37_RS04495
MIT1002_02030,WP_049586288.1,TK37_RS04505
MIT1002_02031,WP_049586290.1,TK37_RS04510
MIT1002_02032,WP_039227706.1,TK37_RS04515
MIT1002_02033,WP_049586291.1,TK37_RS04520
MIT1002_02034,WP_049586292.1,TK37_RS04525
MIT1002_02035,WP_049586293.1,TK37_RS04530
MIT1002_02036,WP_049586294.1,TK37_RS04535
MIT1002_02037,WP_014949555.1,TK37_RS04540
MIT1002_02038,WP_049586295.1,TK37_RS04545
MIT1002_02039,WP_014949557.1,TK37_RS04550
MIT1002_02040,WP_014949558.1,TK37_RS04555
MIT1002_02041,WP_014949559.1,TK37_RS04560
MIT1002_02042,WP_014976601.1,TK37_RS04565
MIT1002_02043,WP_049586300.1,TK37_RS04570
MIT1002_02044,WP_049586303.1,TK37_RS04575
MIT1002_02045,WP_049586305.1,TK37_RS04580
MIT1002_02046,WP_049586306.1,TK37_RS04585
MIT1002_02047,WP_049586308.1,TK37_RS04590
MIT1002_02048,WP_049586310.1,TK37_RS04595
MIT1002_02049,WP_049586311.1,TK37_RS04600
MIT1002_02050,WP_049586313.1,
MIT1002_02051,WP_018624881.1,TK37_RS04610
MIT1002_02052,WP_049586317.1,TK37_RS04615
MIT1002_02053,WP_045980006.1,TK37_RS04620
MIT1002_02054,WP_018624877.1,TK37_RS04625
MIT1002_02055,WP_045980005.1,TK37_RS04630
MIT1002_02056,WP_045980004.1,TK37_RS04635
MIT1002_02057,WP_012801201.1,TK37_RS04640
MIT1002_02059,WP_012801202.1,TK37_RS04650
MIT1002_02060,WP_012801203.1,TK37_RS04655
MIT1002_02061,WP_012801204.1,TK37_RS04660
MIT1002_02062,WP_231514283.1,
MIT1002_02063,WP_231514284.1,
MIT1002_02064,WP_231514285.1,
MIT1002_02065,WP_049586331.1,TK37_RS04680
MIT1002_02066,WP_049586333.1,TK37_RS04685
MIT1002_02068,WP_049586335.1,TK37_RS04695
MIT1002_02069,WP_049586337.1,TK37_RS04700
MIT1002_02070,WP_053103810.1,
MIT1002_02071,WP_085929716.1,
MIT1002_02976,WP_085929716.1,
MIT1002_02073,WP_080986453.1,TK37_RS15865
MIT1002_02074,WP_014949577.1,TK37_RS15860
MIT1002_02075,WP_049588609.1,TK37_RS15855
MIT1002_02076,WP_126873338.1,TK37_RS15850
MIT1002_02077,WP_049588607.1,TK37_RS15845
MIT1002_02079,WP_049588606.1,
MIT1002_02080,WP_049588605.1,TK37_RS15835
MIT1002_02081,WP_049588604.1,
MIT1002_02082,WP_049588603.1,TK37_RS15825
MIT1002_02083,WP_197047973.1,
MIT1002_02084,WP_049588601.1,TK37_RS15815
MIT1002_02085,WP_231514286.1,
MIT1002_02086,WP_049588600.1,TK37_RS15805
MIT1002_02087,WP_049588599.1,TK37_RS15800
MIT1002_02088,WP_049588598.1,TK37_RS15795
MIT1002_02089,WP_049588597.1,TK37_RS15790
MIT1002_02090,WP_049588596.1,TK37_RS15785
MIT1002_02091,WP_049588595.1,TK37_RS15780
MIT1002_02092,WP_049588594.1,TK37_RS15775
MIT1002_02093,WP_049588593.1,TK37_RS15770
MIT1002_02094,WP_049588592.1,TK37_RS15765
MIT1002_02095,WP_049588591.1,TK37_RS15760
MIT1002_02096,WP_049588590.1,TK37_RS15755
MIT1002_02097,WP_049588589.1,TK37_RS15750
MIT1002_02098,WP_049588588.1,TK37_RS15745
MIT1002_02099,WP_049588613.1,TK37_RS15740
MIT1002_02100,WP_049588587.1,TK37_RS15735
MIT1002_02101,WP_049588586.1,TK37_RS15730
MIT1002_02102,WP_197047974.1,
MIT1002_02104,WP_152910897.1,TK37_RS15715
MIT1002_02105,WP_080986452.1,
MIT1002_02106,WP_152910896.1,TK37_RS15710
MIT1002_02107,WP_049588583.1,TK37_RS15705
MIT1002_02108,WP_049588582.1,TK37_RS15700
MIT1002_02109,WP_049588581.1,TK37_RS15695
MIT1002_02110,WP_049588580.1,TK37_RS15690
MIT1002_02111,WP_049588579.1,TK37_RS15685
MIT1002_02112,WP_049588578.1,TK37_RS15680
MIT1002_02113,WP_049588577.1,TK37_RS15675
MIT1002_02114,WP_049588576.1,TK37_RS15670
MIT1002_02115,WP_160314214.1,TK37_RS15665
MIT1002_02116,WP_049588574.1,TK37_RS15660
MIT1002_02118,WP_160314212.1,TK37_RS13610
MIT1002_02119,WP_049588203.1,TK37_RS13615
MIT1002_02120,WP_014949580.1,TK37_RS13620
MIT1002_02121,WP_014976618.1,TK37_RS13625
MIT1002_02122,WP_014949582.1,TK37_RS13630
MIT1002_02123,WP_049588205.1,TK37_RS13635
MIT1002_02124,WP_049588207.1,TK37_RS13640
MIT1002_02125,WP_049588210.1,TK37_RS13645
MIT1002_02126,WP_014949586.1,TK37_RS13650
MIT1002_02127,WP_014949587.1,TK37_RS13655
MIT1002_02128,WP_049588213.1,TK37_RS13660
MIT1002_02129,WP_049588214.1,TK37_RS13665
MIT1002_02130,WP_014979357.1,TK37_RS13670
MIT1002_02131,WP_014949591.1,TK37_RS13675
MIT1002_02132,WP_039220102.1,TK37_RS13680
MIT1002_02133,WP_049588215.1,TK37_RS13685
MIT1002_02134,WP_049588217.1,TK37_RS13690
MIT1002_02135,WP_014949594.1,TK37_RS13695
MIT1002_02136,WP_049588218.1,TK37_RS13700
MIT1002_02137,WP_014949596.1,TK37_RS13705
MIT1002_02138,WP_014949597.1,TK37_RS13710
MIT1002_02139,WP_014949598.1,TK37_RS13715
MIT1002_02140,WP_014979378.1,TK37_RS13720
MIT1002_02141,WP_014976627.1,TK37_RS13725
MIT1002_02142,WP_049588219.1,TK37_RS13730
MIT1002_02143,WP_014949602.1,TK37_RS13735
MIT1002_02144,WP_014949603.1,TK37_RS13740
MIT1002_02145,WP_049588221.1,TK37_RS13745
MIT1002_02146,WP_049588222.1,TK37_RS13750
MIT1002_02147,WP_014949606.1,TK37_RS13755
MIT1002_02148,WP_014976631.1,TK37_RS13760
MIT1002_02152,WP_049588224.1,TK37_RS13780
MIT1002_02153,WP_049588225.1,TK37_RS13785
MIT1002_02154,WP_049588227.1,TK37_RS13790
MIT1002_02155,WP_049588228.1,TK37_RS13795
MIT1002_02156,WP_049588230.1,TK37_RS13800
MIT1002_02159,WP_014949614.1,TK37_RS13815
MIT1002_02162,WP_049588233.1,TK37_RS13830
MIT1002_02163,WP_039234693.1,TK37_RS13835
MIT1002_02164,WP_049588235.1,TK37_RS13840
MIT1002_02165,WP_014949618.1,TK37_RS13845
MIT1002_02167,WP_014949619.1,TK37_RS13855
MIT1002_02168,WP_049588237.1,TK37_RS13860
MIT1002_02169,WP_014949621.1,TK37_RS13865
MIT1002_02170,WP_049588239.1,TK37_RS13870
MIT1002_02171,WP_014949623.1,TK37_RS13875
MIT1002_02172,WP_014979395.1,TK37_RS13880
MIT1002_02173,WP_049588240.1,TK37_RS13885
MIT1002_02174,WP_049588242.1,TK37_RS13890
MIT1002_02176,WP_014949630.1,TK37_RS16385
MIT1002_02177,WP_014949631.1,TK37_RS16380
MIT1002_02178,WP_049588671.1,TK37_RS16375
MIT1002_02179,WP_049588670.1,TK37_RS16370
MIT1002_02180,WP_049588669.1,TK37_RS16365
MIT1002_02181,WP_014949635.1,TK37_RS16360
MIT1002_02183,WP_049588668.1,TK37_RS16355
MIT1002_02184,WP_039234640.1,TK37_RS16350
MIT1002_02185,WP_049588667.1,TK37_RS16345
MIT1002_02186,WP_014949639.1,TK37_RS16340
MIT1002_02187,WP_049588666.1,TK37_RS16335
MIT1002_02188,WP_014949641.1,TK37_RS16330
MIT1002_02189,WP_014949642.1,TK37_RS16325
MIT1002_02190,WP_014976668.1,TK37_RS16320
MIT1002_02191,WP_049588672.1,TK37_RS16315
MIT1002_02192,WP_049588665.1,TK37_RS16310
MIT1002_02193,WP_014949646.1,TK37_RS16305
MIT1002_02194,WP_014949647.1,TK37_RS16300
MIT1002_02195,WP_014949648.1,TK37_RS16295
MIT1002_02196,WP_014949649.1,TK37_RS16290
MIT1002_02197,WP_014949650.1,TK37_RS16285
MIT1002_02198,WP_049588664.1,TK37_RS16280
MIT1002_02199,WP_014949652.1,TK37_RS16275
MIT1002_02200,WP_049588663.1,TK37_RS16270
MIT1002_02201,WP_014949654.1,TK37_RS16265
MIT1002_02202,WP_049588662.1,TK37_RS16260
MIT1002_02203,WP_231514288.1,
MIT1002_02204,WP_049588661.1,TK37_RS16250
MIT1002_02205,WP_014949658.1,TK37_RS16245
MIT1002_02206,WP_049588660.1,TK37_RS16240
MIT1002_02207,WP_014949660.1,TK37_RS16235
MIT1002_02208,WP_014976680.1,TK37_RS16230
MIT1002_02209,WP_014949662.1,TK37_RS16225
MIT1002_02210,WP_014949663.1,TK37_RS16220
MIT1002_02211,WP_014949664.1,
MIT1002_02212,WP_049588882.1,TK37_RS18165
MIT1002_02213,WP_049588881.1,TK37_RS18160
MIT1002_02214,WP_049588880.1,TK37_RS18155
MIT1002_02215,WP_049588879.1,TK37_RS18150
MIT1002_02216,WP_049588878.1,TK37_RS18145
MIT1002_02217,WP_049588877.1,TK37_RS18140
MIT1002_02218,WP_049588876.1,TK37_RS18135
MIT1002_02219,WP_014976688.1,TK37_RS18130
MIT1002_02220,WP_014979424.1,TK37_RS18125
MIT1002_02221,WP_231514289.1,
MIT1002_02222,WP_014976690.1,TK37_RS18115
MIT1002_02223,WP_049588874.1,TK37_RS18110
MIT1002_02224,WP_014976692.1,TK37_RS18105
MIT1002_02225,WP_014976693.1,TK37_RS18100
MIT1002_02226,WP_049588873.1,TK37_RS18095
MIT1002_02227,WP_049588872.1,TK37_RS18090
MIT1002_02228,WP_014949681.1,TK37_RS18085
MIT1002_02229,WP_014949682.1,TK37_RS18080
MIT1002_02230,WP_049588871.1,TK37_RS18075
MIT1002_02231,WP_049588870.1,TK37_RS18070
MIT1002_02232,WP_049588869.1,TK37_RS18065
MIT1002_02233,WP_049588868.1,TK37_RS18060
MIT1002_02234,WP_049588867.1,TK37_RS18055
MIT1002_02235,WP_039227619.1,TK37_RS18050
MIT1002_02236,WP_039220753.1,TK37_RS18045
MIT1002_02237,WP_049588866.1,TK37_RS18040
MIT1002_02238,WP_049588865.1,TK37_RS18035
